Tỉnh giao,LV-2,Kho Đến,Loại kho
"Bưu Cục A5 KDC Tân Thuận Nam-Phú Thuận-Quận 7-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 195B Lý Chính Thắng-Q.3-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 593A Tỉnh Lộ 15-Củ Chi-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Đường 268 Đỗ Xuân Hợp-Phường Phước Long-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 16A Lê Hồng Phong-Q.10-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 608 Phan Văn Trị-Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 85 Cao Văn Ngọc-Phường Tân Phú-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 1130 Đông Hưng Thuận 05-Q.12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục F5/9A Trần Văn Giàu-Bình Chánh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Tân Kiên-Bình Chánh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Tăng Nhơn Phú B-Q.9-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 295F Lý Thường Kiệt-Quận 11-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 46 Tam Bình-Hiệp Bình Chánh-Q.Thủ Đức-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 117 Hùng Vương-Q.5-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 6 Phạm Văn Hai-Q.Tân Bình-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 235 Hồ Học Lãm-Q.Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu cục 58 Vũ Tông Phan-Q.2-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Hàng Vừa 85 Cao Văn Ngọc-Q.Tân Phú-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 198 Thạnh Lộc 15-Q.12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 29A Đường Số 5-Q.2-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Hàng Vừa 20A Đường 12-Q.9-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Kho Chuyển Tiếp Bình Phước","Kho Chuyển Tiếp Bình Phước","Kho Chuyển Tiếp Bình Phước","Kho Chuyển Tiếp"
"Kho Chuyển Tiếp Bình Thuận","Kho Chuyển Tiếp Bình Thuận","Kho Chuyển Tiếp Bình Thuận","Kho Chuyển Tiếp"
"Kho Chuyển Tiếp Đắk Nông","Kho Chuyển Tiếp Đắk Nông","Kho Chuyển Tiếp Đắk Nông","Kho Chuyển Tiếp"
"Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp"
"Kho Chuyển Tiếp Quảng Ngãi","Kho Chuyển Tiếp Quảng Ngãi","Kho Chuyển Tiếp Quảng Ngãi","Kho Chuyển Tiếp"
"Kho Chuyến Tiếp Thanh Hoá","Kho Chuyến Tiếp Thanh Hoá","Kho Chuyến Tiếp Thanh Hoá","Kho Chuyển Tiếp"
"Kho Trung Chuyển Bình Định","Kho Trung Chuyển Bình Định","Kho Trung Chuyển Bình Định","Kho Trung Chuyển"
